epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,723.189,1.12887,3.3859,1.34838,1,0.64553,0.82274,0.74586,0.9755,3.10459,1.26579,0.000151464,0.000151464,0.000151464
2,3010.59,1.14629,2.64432,1.34542,1,0.49146,0.74572,0.69068,0.98888,2.89062,1.27857,0.000295629,0.000295629,0.000295629
3,3929.74,1.13773,2.46448,1.33614,0.89079,0.4948,0.68242,0.62188,1.02936,2.8586,1.30662,0.000432285,0.000432285,0.000432285
4,5236.79,1.12772,2.34426,1.33229,1,0.49823,0.7491,0.68586,0.99809,2.57056,1.29164,0.000421216,0.000421216,0.000421216
5,6353.16,1.11477,2.18829,1.30989,1,0.46671,0.73334,0.6751,0.99785,2.6595,1.27062,0.000409955,0.000409955,0.000409955
6,7489.43,1.10882,2.11697,1.31247,0.94522,0.65076,0.7932,0.71952,0.96543,2.48074,1.25222,0.000398694,0.000398694,0.000398694
7,8636.58,1.10969,2.03932,1.30812,1,0.66506,0.8325,0.75881,0.94297,2.3382,1.23274,0.000387433,0.000387433,0.000387433
8,9773.91,1.09047,1.95488,1.29437,1,0.80303,0.90147,0.81299,0.93379,2.22156,1.22895,0.000376171,0.000376171,0.000376171
9,10903.2,1.06899,1.88784,1.2834,0.94628,0.81941,0.8666,0.78061,0.93929,2.35435,1.24325,0.00036491,0.00036491,0.00036491
10,12040.8,1.06864,1.83897,1.28413,0.94526,0.85365,0.89625,0.80458,0.9274,2.30262,1.22776,0.000353649,0.000353649,0.000353649
11,13138.7,1.06936,1.79905,1.27421,0.94578,0.85666,0.88956,0.80054,0.93665,2.21781,1.22649,0.000342387,0.000342387,0.000342387
12,14256.6,1.06462,1.7716,1.27245,0.89108,0.85713,0.86675,0.77209,0.9385,2.22934,1.22506,0.000331126,0.000331126,0.000331126
13,15447.8,1.04523,1.70497,1.2613,0.94523,0.84241,0.89064,0.79789,0.9381,2.16466,1.22107,0.000319865,0.000319865,0.000319865
14,16821.4,1.04621,1.66842,1.26686,0.89106,0.81643,0.83519,0.75287,0.91972,2.1311,1.22379,0.000308604,0.000308604,0.000308604
15,18204.5,1.03948,1.64231,1.25654,0.89093,0.81631,0.84753,0.75815,0.91998,2.17264,1.20932,0.000297342,0.000297342,0.000297342
16,19596.7,1.02588,1.60108,1.2484,0.94572,0.85417,0.8986,0.80774,0.91184,2.15352,1.20718,0.000286081,0.000286081,0.000286081
17,21094.3,1.02629,1.58402,1.24516,1,0.82263,0.91126,0.82149,0.91402,2.0927,1.21049,0.00027482,0.00027482,0.00027482
18,22643.1,1.01395,1.53797,1.24043,0.89154,0.82837,0.84316,0.75985,0.91758,2.09796,1.20862,0.000263559,0.000263559,0.000263559
19,24110,1.01153,1.52208,1.23612,0.8906,0.83284,0.86263,0.76987,0.92394,2.17842,1.22331,0.000252298,0.000252298,0.000252298
20,25817.1,1.00457,1.48684,1.23328,0.83643,0.85651,0.84067,0.74928,0.91295,2.10711,1.21029,0.000241036,0.000241036,0.000241036
21,27372.3,0.99744,1.46834,1.22877,0.83747,0.83875,0.82775,0.73999,0.90254,2.09408,1.20884,0.000229775,0.000229775,0.000229775
22,28786,1.00064,1.44228,1.22876,0.8371,0.82558,0.81404,0.73327,0.89979,2.10465,1.19994,0.000218514,0.000218514,0.000218514
23,30123.1,0.98793,1.41336,1.22157,0.8375,0.83524,0.82264,0.73809,0.90506,2.13071,1.20412,0.000207252,0.000207252,0.000207252
24,670.717,0.98768,1.37533,1.22208,0.78246,0.86206,0.80577,0.72143,0.89515,2.02607,1.19804,0.000195991,0.000195991,0.000195991
25,1492.1,0.97594,1.34003,1.21244,0.78291,0.85851,0.79783,0.71367,0.8991,2.03552,1.19764,0.00018473,0.00018473,0.00018473
26,2281.23,0.96057,1.32406,1.20413,0.67305,0.85588,0.72737,0.64471,0.89718,2.07684,1.19356,0.000173469,0.000173469,0.000173469
27,3075.34,0.94641,1.30438,1.19965,0.78366,0.86652,0.80456,0.71967,0.89507,2.01683,1.19769,0.000162207,0.000162207,0.000162207
28,4082.1,0.94737,1.24735,1.18875,0.78264,0.84669,0.79534,0.71289,0.88987,2.06575,1.18967,0.000150946,0.000150946,0.000150946
29,5048.15,0.9486,1.25536,1.19447,0.72909,0.85635,0.77129,0.68443,0.89671,2.00585,1.19673,0.000139685,0.000139685,0.000139685
30,6038.39,0.95276,1.23188,1.19419,0.72898,0.85496,0.75668,0.67506,0.89443,2.03331,1.19263,0.000128424,0.000128424,0.000128424
31,7126.68,0.95018,1.29908,1.20664,0.89195,0.84154,0.85424,0.77003,0.89005,2.02541,1.19188,0.000117163,0.000117163,0.000117163
32,8117.69,0.93446,1.22406,1.19589,0.67398,0.84955,0.72747,0.64141,0.89246,2.05525,1.20086,0.000105901,0.000105901,0.000105901
33,9108.96,0.92638,1.1744,1.18122,0.62019,0.84032,0.68876,0.60824,0.89062,2.13203,1.19875,9.464e-05,9.464e-05,9.464e-05
34,10081.3,0.91676,1.15656,1.17818,0.72794,0.85101,0.76245,0.67874,0.88384,2.03215,1.18971,8.33788e-05,8.33788e-05,8.33788e-05
35,11046,0.91079,1.12495,1.17576,0.67411,0.83563,0.72158,0.63738,0.88784,2.09626,1.19196,7.21175e-05,7.21175e-05,7.21175e-05
36,12052,0.90017,1.10159,1.16815,0.6212,0.84242,0.69393,0.61096,0.88408,2.08249,1.19181,6.08563e-05,6.08563e-05,6.08563e-05
37,13083.3,0.89973,1.07451,1.16666,0.6212,0.83046,0.69968,0.6134,0.8791,2.04712,1.19218,4.9595e-05,4.9595e-05,4.9595e-05
38,14269.5,0.88508,1.05079,1.15764,0.67465,0.83277,0.72658,0.64322,0.88274,2.08454,1.1934,3.83337e-05,3.83337e-05,3.83337e-05
39,15476,0.88287,1.03674,1.15689,0.67429,0.8335,0.72486,0.64129,0.8859,2.12058,1.19839,2.70725e-05,2.70725e-05,2.70725e-05
40,16688.1,0.88211,1.02993,1.15752,0.67504,0.82383,0.72085,0.63921,0.88314,2.09897,1.19401,1.58113e-05,1.58113e-05,1.58113e-05
